	UniProtID	Description	GO_Terms
CENPVL1	A0A0U1RR11	Centromere protein V-like protein 1	GO:0016846;GO:0046872
A0A0U1RRA0	A0A0U1RRA0	Uncharacterized protein	GO:0016021
NBDY	A0A0U1RRE5	Negative regulator of P-body association	GO:0000932;GO:0000956;GO:0005515;GO:0006397;GO:0010607
CENPVL3	A0A0U1RRI6	Centromere protein V-like protein 3	GO:0016846;GO:0046872
SPTY2D1OS	A0A0U1RRN3	Putative transmembrane protein SPTY2D1OS	GO:0016021
A0A0X1KG70	A0A0X1KG70	Uncharacterized protein	GO:0004930;GO:0004984;GO:0005886;GO:0016021;GO:0050911;GO:0007186
OR2A25	A0A126GWI2;A4D2G3	Olfactory receptor;Olfactory receptor 2A25	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
CRYAA2	A0A140G945	Alpha-crystallin A2 chain	GO:0005212;GO:0005654;GO:0005829;GO:0046872
LOC100653049	A0A140TA62	Uncharacterized protein	GO:0005198;GO:0005882
LOC100996750	A0A140TA64	Uncharacterized protein	GO:0045095
KRTAP9-6	A0A140TA67;A8MVA2	Keratin-associated protein 9-6	GO:0045095;GO:0005829;GO:0031424
LCE6A	A0A183	Late cornified envelope protein 6A	GO:0031424
TUNAR	A0A1B0GTB2	HCG2038094, isoform CRA_a	GO:0016021
CNTNAP3C	A0A1B0GTE1	Contactin-associated protein-like 3C	GO:0016021
A0A1B0GTG8	A0A1B0GTG8	Uncharacterized protein	GO:0016021
CSNKA2IP	A0A1B0GTH6	Casein kinase II subunit alpha'-interacting protein	GO:0005634
TMEM272	A0A1B0GTI8	Transmembrane protein 272	GO:0016021
FAM237A	A0A1B0GTK4	Protein FAM237A	GO:0016021
A0A1B0GTQ1	A0A1B0GTQ1	Uncharacterized protein	GO:0005506;GO:0016712;GO:0020037;GO:0055114
MYMX	A0A1B0GTQ4	Protein myomixer	GO:0005886;GO:0005887;GO:0007520;GO:0014905;GO:0043403;GO:0045026;GO:0060538;GO:0005789;GO:0000139
EDDM13	A0A1B0GTR0	Epididymal protein 13	GO:0005576
ZC3H11B	A0A1B0GTU1;A0A1B0GUI2	Zinc finger CCCH domain-containing protein 11B;Zinc finger CCCH-type-containing 11B pseudogene	GO:0046872;GO:0016973;GO:0003729;GO:0000346
CTXND1	A0A1B0GTU2	Cortexin domain-containing 1	GO:0016021
DWORF	A0A1B0GTW0	Uncharacterized protein	GO:0016021
LMLN2	A0A1B0GTW7	Leishmanolysin-like peptidase 2	GO:0004222;GO:0006508;GO:0007155;GO:0016021;GO:0046872;GO:0005737;GO:0008233
TEX50	A0A1B0GTY4	Testis-expressed protein 50	GO:0016021
SMIM28	A0A1B0GU29	Small integral membrane protein 28	GO:0016021
SMIM32	A0A1B0GUA5	Small integral membrane protein 32	GO:0016021
TEX51	A0A1B0GUA7	Testis-expressed protein 51	GO:0016021
A0A1B0GUL7	A0A1B0GUL7	Uncharacterized protein	GO:0004672;GO:0005524;GO:0006468
UBE2L5	A0A1B0GUS4	Ubiquitin-conjugating enzyme E2 L5	GO:0005524;GO:0016874;GO:0031625;GO:0006511;GO:0061631;GO:0000151;GO:0070979
C17orf113	A0A1B0GUU1	Transmembrane protein C17orf113	GO:0016021
LOC102723971	A0A1B0GUV8	Uncharacterized protein	GO:0036094
SPEM3	A0A1B0GUW6	Uncharacterized protein SPEM3	GO:0016021;GO:0007283;GO:0030317;GO:0005737;GO:0007291
SMIM27	A0A1B0GUW7	Small integral membrane protein 27	GO:0016021
A0A1B0GUZ9	A0A1B0GUZ9	Uncharacterized protein	GO:0016021
REELD1	A0A1B0GV85	Reelin domain-containing protein 1	GO:0016021
CTXND2	A0A1B0GV90	Cortexin domain containing 2	GO:0016021
PRSS51	A0A1B0GVH4	Serine protease-like protein 51	GO:0004252;GO:0005576;GO:0006508
A0A1B0GVI7	A0A1B0GVI7	Uncharacterized protein	GO:0003700;GO:0005634;GO:0006805;GO:0034751;GO:0046983;GO:0009410;GO:0045944
TMEM238L	A0A1B0GVL6	HCG1800530, isoform CRA_b	GO:0016021
TCAF2C	A0A1B0GVM2	TRPM8 channel-associated factor 2C	GO:0005886;GO:0030054
C11orf97	A0A1B0GVM6	Uncharacterized protein C11orf97	GO:0005737;GO:0036064;GO:0097546
C2orf92	A0A1B0GVN3	Uncharacterized protein C2orf92	GO:0016021
SPAAR	A0A1B0GVQ0	Small regulatory polypeptide of amino acid response	GO:0031902;GO:0043416;GO:0071230;GO:1904262;GO:1905103;GO:0046611
SMIM36	A0A1B0GVT2	Small integral membrane protein 36	GO:0016021
SMIM35	A0A1B0GVV1	Small integral membrane protein 35	GO:0016021
LITAFD	A0A1B0GVX0	LITAF domain-containing protein	GO:0016020;GO:0046872
SMIM31	A0A1B0GVY4	Small integral membrane protein 31	GO:0016021;GO:0030424
TMEM269	A0A1B0GVZ9	Transmembrane protein 269	GO:0016021
SMIM39	A0A1B0GW54	Small integral membrane protein 39	GO:0016021
A0A1B0GW55	A0A1B0GW55	Uncharacterized protein	GO:0003677;GO:0005634
SMIM33	A0A1B0GW64	Small integral membrane protein 33	GO:0016021
PRRT1B	A0A1B0GWB2	Proline rich transmembrane protein 1B	GO:0016021;GO:0016020
SERTM2	A0A1B0GWG4	Serine-rich and transmembrane domain-containing 2	GO:0016021
HSFX3	A0A1B0GWH4	Heat shock transcription factor, X-linked member 3	GO:0000981;GO:0005634;GO:0034605;GO:0061408;GO:0043565;GO:0000978;GO:0003700
LINC00672	A0A1B0GWH6	Long intergenic non-protein coding RNA 672	GO:0016021
TRBV7-6	A0A1B0GX31	T cell receptor beta variable 7-6	GO:0002250;GO:0042101
TRBV6-4	A0A1B0GX49	T cell receptor beta variable 6-4	GO:0002250;GO:0042101
TRBV7-8	A0A1B0GX51	T cell receptor beta variable 7-8	GO:0002250;GO:0042101
TRDV1	A0A1B0GX56	T cell receptor delta variable 1	GO:0002250;GO:0042101;GO:0045087;GO:0005615;GO:0006955;GO:0002377
TRBV2	A0A1B0GX68	T cell receptor beta variable 2	GO:0002250;GO:0042101
TRBV12-5	A0A1B0GX78	T cell receptor beta variable 12-5	GO:0002250;GO:0042101
TRBV7-4	A0A1B0GX95	T cell receptor beta variable 7-4	GO:0002250;GO:0042101
TRBV7-2	A0A1B0GXF2	T cell receptor beta variable 7-2	GO:0002250;GO:0042101
POU6F1	A0A1C7CYV8;Q14863	POU domain protein;POU domain, class 6, transcription factor 1	GO:0000977;GO:0003700;GO:0006355;GO:0015629;GO:0016604;GO:0000122;GO:0000981;GO:0001227;GO:0007420;GO:0007507;GO:0007517;GO:0043565
CHRNA7	A0A1W2PN81;P36544	Neuronal acetylcholine receptor subunit alpha-7	GO:0004888;GO:0016021;GO:0022848;GO:0030054;GO:0034220;GO:0045211;GO:0060079;GO:0000187;GO:0001540;GO:0001666;GO:0001934;GO:0005216;GO:0005262;GO:0005515;GO:0005886;GO:0005892;GO:0006811;GO:0006816;GO:0006874;GO:0007165;GO:0007611;GO:0007613;GO:0007614;GO:0008284;GO:0015464;GO:0015643;GO:0017081;GO:0032720;GO:0035094;GO:0042166;GO:0042803;GO:0044853;GO:0045766;GO:0050808;GO:0050890;GO:0050893;GO:0051247;GO:0070374;GO:0070588;GO:0095500;GO:0097061;GO:0098794;GO:0098815;GO:0140059;GO:1900273;GO:1901214;GO:1902004;GO:1902430;GO:1902991;GO:1904645;GO:1905144;GO:1905906;GO:1905920;GO:2000463;GO:0050877;GO:0007271;GO:0042391;GO:0043005;GO:0007268;GO:0005230;GO:0005887;GO:0045202
SCO2	A0A1W2PP80;A0A1W2PQK0;O43819	Protein SCO2 homolog, mitochondrial	GO:0004645;GO:0006206;GO:0006213;GO:0016763;GO:0001654;GO:0005507;GO:0005515;GO:0005739;GO:0005759;GO:0006825;GO:0006878;GO:0015035;GO:0030016;GO:0031305;GO:0033617;GO:0045454;GO:0055114;GO:0005743
TAF11L7	A0A1W2PP81	HCG1809904	GO:0005634;GO:0006367;GO:0046982
KDM4F	A0A1W2PPD8	Lysine demethylase 4F	GO:0005634
TAF11L4	A0A1W2PPE2	TATA-box-binding protein-associated factor 11-like 4	GO:0005634;GO:0006367;GO:0046982
DUXB	A0A1W2PPF3	Double homeobox B	GO:0005634;GO:0006355;GO:0043565
GNG14	A0A1W2PPG7	Putative guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-14	GO:0003924;GO:0005834;GO:0007186
TAF11L13	A0A1W2PPH5	TATA-box-binding protein-associated factor 11-like 13	GO:0005634;GO:0006367;GO:0046982
A0A1W2PPK0	A0A1W2PPK0	Uncharacterized protein	GO:0003677;GO:0005634
TAF11L14	A0A1W2PPL8	TATA-box-binding protein-associated factor 11-like 14	GO:0005634;GO:0006367;GO:0046982
CPHXL	A0A1W2PPM1	Cytoplasmic polyadenylated homeobox-like	GO:0003677;GO:0005634
A0A1W2PPV4	A0A1W2PPV4	Uncharacterized protein	GO:0005249;GO:0005887;GO:0071805
TAF11L12	A0A1W2PPW3	TATA-box-binding protein-associated factor 11-like 12	GO:0005634;GO:0006367;GO:0046982
TAF11L11	A0A1W2PQ09	TATA-box-binding protein-associated factor 11-like 11	GO:0005634;GO:0006367;GO:0046982
SSU72P7	A0A1W2PQ27	SSU72 pseudogene 7	GO:0004721;GO:0005634;GO:0006397;GO:0006470
A0A1W2PQ45	A0A1W2PQ45	Uncharacterized protein	GO:0016021
SSU72P5	A0A1W2PQ64	SSU72 pseudogene 5	GO:0004721;GO:0005634;GO:0006397;GO:0006470
LOC390937	A0A1W2PQ73	Uncharacterized protein	GO:0003700;GO:0005634;GO:0006355;GO:0043565
SSU72P4	A0A1W2PQC6	SSU72 pseudogene 4	GO:0004721;GO:0005634;GO:0006397;GO:0006470
SSU72P2	A0A1W2PQD8	SSU72 pseudogene 2	GO:0004721;GO:0005634;GO:0006397;GO:0006470
SSU72P3	A0A1W2PQJ5	SSU72 pseudogene 3	GO:0004721;GO:0005634;GO:0006397;GO:0006470
A0A1W2PQL4	A0A1W2PQL4	Uncharacterized protein	GO:0003676;GO:0006355;GO:0046872
A0A1W2PQM1	A0A1W2PQM1	Uncharacterized protein	GO:0016021
KANTR	A0A1W2PQU2	KDM5C adjacent transcript	GO:0016021
GSTT4	A0A1W2PR19	Glutathione S-transferase theta-4	GO:0004364;GO:0005737
TLE7	A0A1W2PR48	Transducin-like enhancer protein 7	GO:0005634;GO:0006355
TAF11L9	A0A1W2PR64	TATA-box-binding protein-associated factor 11-like 9	GO:0005634;GO:0006367;GO:0046982
SSU72P8	A0A1W2PR75	SSU72 pseudogene 8	GO:0004721;GO:0005634;GO:0006397;GO:0006470
hCG_1642624	A0A1W2PR95	HCG1642624, isoform CRA_a	GO:0009966
LINC02218	A0A1W2PRN6	HCG1807616	GO:0005634;GO:0006367;GO:0046982
A0A1W2PRP0	A0A1W2PRP0	Uncharacterized protein	GO:0003700;GO:0005634;GO:0006355;GO:0043565
TAF11L3	A0A1W2PRV1	TATA-box-binding protein-associated factor 11-like 3	GO:0005634;GO:0006367;GO:0046982
PMIS2	A0A1W2PS18	Transmembrane protein PMIS2	GO:0016021
A0A286YES4	A0A286YES4	Uncharacterized protein	GO:0006644;GO:0016021;GO:0016311;GO:0030111;GO:0042577
A0A286YEU6	A0A286YEU6	Uncharacterized protein	GO:0004984;GO:0007186;GO:0016021;GO:0050911
SCYGR4	A0A286YEV6	Small cysteine and glycine repeat-containing protein 4	GO:0005882
SCYGR10	A0A286YEX9	Small cysteine and glycine repeat-containing protein 10	GO:0005882
SCYGR1	A0A286YEY9	Small cysteine and glycine repeat-containing protein 1	GO:0005882
A0A286YEZ7	A0A286YEZ7	Uncharacterized protein	GO:0006644;GO:0016021;GO:0016311;GO:0030111;GO:0042577
SCYGR7	A0A286YF01	Small cysteine and glycine repeat-containing protein 7	GO:0005882
A0A286YF18	A0A286YF18	Uncharacterized protein	GO:0016021
A0A286YF41	A0A286YF41	Uncharacterized protein	GO:0006644;GO:0016021;GO:0016311;GO:0030111;GO:0042577
SCYGR5	A0A286YF46	Small cysteine and glycine repeat-containing protein 5	GO:0005882
TMEM271	A0A286YF58	Transmembrane protein 271	GO:0016021
SCYGR3	A0A286YF60	Small cysteine and glycine repeat-containing protein 3	GO:0005882
SCYGR6	A0A286YF77	Small cysteine and glycine repeat-containing protein 6	GO:0005882
SCYGR2	A0A286YFB4	Small cysteine and glycine repeat-containing protein 2	GO:0005882
SCYGR8	A0A286YFG1	Small cysteine and glycine repeat-containing protein 8	GO:0005882
SMIM38	A0A286YFK9	Small integral membrane protein 38	GO:0016021
OR8S1	A0A286YFL9;Q8NH09	Olfactory receptor;Olfactory receptor 8S1	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
A0A286YFN4	A0A286YFN4	Uncharacterized protein	GO:0004930;GO:0007186;GO:0016021
A0A2R8Y422	A0A2R8Y422	Uncharacterized protein	GO:0003735;GO:0005840;GO:0006412
HNRNPA1P48	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 48	GO:0003723
OR5D3P	A0A2R8Y4L6	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
A0A2R8Y4M4	A0A2R8Y4M4	Uncharacterized protein	GO:0016021
OR7E24	A0A2R8Y4Q1;Q6IFN5	Olfactory receptor 7E24	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
OOSP4B	A0A2R8Y4Y8	Oocyte-secreted protein 4B	GO:0005576
A0A2R8Y5M8	A0A2R8Y5M8	Uncharacterized protein	GO:0007605;GO:0016206;GO:0032259
SLC35D2	A0A2R8Y5X9;Q76EJ3	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	GO:0016021;GO:0000139;GO:0005338;GO:0005794;GO:0006024;GO:0008150;GO:0008643;GO:0015787;GO:0015789;GO:0018146;GO:1990569;GO:0022857;GO:0005462;GO:0005463;GO:0005461;GO:0015297;GO:0015165
A0A2R8Y619	A0A2R8Y619	Histone H2B	GO:0000786;GO:0003677;GO:0005634;GO:0046982
A0A2R8Y6Q2	A0A2R8Y6Q2	Uncharacterized protein	GO:0005227;GO:0030317;GO:0034220;GO:0036128
H3.Y	A0A2R8Y7G9	Uncharacterized protein	GO:0000786;GO:0003677;GO:0005634;GO:0046982
A0A2R8Y7Y5	A0A2R8Y7Y5	Uncharacterized protein	GO:0016021
TDRD12	A0A2R8Y872;Q587J7	Putative ATP-dependent RNA helicase TDRD12	GO:0003676;GO:0005524;GO:0003674;GO:0003724;GO:0005575;GO:0007140;GO:0007275;GO:0007283;GO:0009566;GO:0030154;GO:0031047;GO:0034587;GO:0043046;GO:1990923
B3GNT10	A0A2R8YCE0	Hexosyltransferase	GO:0000139;GO:0006486;GO:0008378;GO:0016021
SMIM41	A0A2R8YCJ5	Small integral membrane protein 41	GO:0016021
A0A2R8YE69	A0A2R8YE69	Uncharacterized protein	GO:0016021
OR5BS1P	A0A2R8YED5	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
OR2A1	A0A2R8YEG4;Q8NGT9	Olfactory receptor;Olfactory receptor 2A1/2A42	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
LOC112268384	A0A2R8YEH3	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
OR2A42	A0A2R8YEV3	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
A0A2R8YF49	A0A2R8YF49	Uncharacterized protein	GO:0005089;GO:0035023;GO:0035556
A0A2R8YFB7	A0A2R8YFB7	Uncharacterized protein	GO:0007160
A0A2R8YFF1	A0A2R8YFF1	Uncharacterized protein	GO:0003676
OOSP4A	A0A2R8YFL7	Oocyte-secreted protein 4A	GO:0005576
OOSP3	A0A2R8YFM6	Oocyte-secreted protein 3	GO:0005576
LOC112268381	A0A2R8YFR7	Uncharacterized protein	GO:0005089;GO:0035023;GO:0035556
A0A2R9YJI8	A0A2R9YJI8	Uncharacterized protein	GO:0005506;GO:0016712;GO:0020037;GO:0055114
A0A2U3TZJ3	A0A2U3TZJ3	Uncharacterized protein	GO:0004842;GO:0006914;GO:0016567;GO:0045087;GO:0051607
FOXO3B	A0A2Z4LIS9	Forkhead box protein O3B	GO:0003700;GO:0005829;GO:0006355;GO:0043565
PEG3	A0A3B3IRU6;Q9GZU2	Paternally-expressed gene 3 protein	GO:0003676;GO:0000122;GO:0000981;GO:0005776;GO:0006915;GO:0045944;GO:0046872;GO:0005634
MCTS2P	A0A3B3IRV3	Malignant T-cell-amplified sequence	GO:0003723;GO:0005737
A0A3B3ISS9	A0A3B3ISS9	Uncharacterized protein	GO:0004888;GO:0005179;GO:0005576;GO:0007166;GO:0016021
TRIM51GP	A0A3B3IT33	Tripartite motif-containing 51G, pseudogene	GO:0008270
A0A3B3IT34	A0A3B3IT34	Uncharacterized protein	GO:0008544
OR51C1P	A0A3B3IT45	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
A0A3B3IT50	A0A3B3IT50	Uncharacterized protein	GO:0003824;GO:0004939;GO:0007189;GO:0016021;GO:0071875
A0A3B3ITR4	A0A3B3ITR4	Uncharacterized protein	GO:0004497;GO:0005506;GO:0005856;GO:0016705;GO:0020037;GO:0055114
A0A3B3ITS8	A0A3B3ITS8	Uncharacterized protein	GO:0003896;GO:0006269
A0A3B3ITX8	A0A3B3ITX8	Uncharacterized protein	GO:0016021
RAMACL	A0A3B3IU46	RNA guanine-7 methyltransferase-activating subunit-like (pseudogene)	GO:0003723;GO:0005845;GO:0106005
A0A3B3IU63	A0A3B3IU63	Histone H2A	GO:0000786;GO:0003677;GO:0005634;GO:0046982
TRBV4-2	A0A539	T cell receptor beta variable 4-2	GO:0002250;GO:0042101
TRBV3-1	A0A576	T cell receptor beta variable 3-1	GO:0002250;GO:0042101
TRBV4-1	A0A577	T cell receptor beta variable 4-1	GO:0002250;GO:0042101
TRBV5-1	A0A578	T cell receptor beta variable 5-1	GO:0002250;GO:0042101
TRBV11-2	A0A584	T cell receptor beta variable 11-2	GO:0002250;GO:0042101
TRBV4-3	A0A589	T cell receptor beta variable 4-3	GO:0002250;GO:0042101
TRBV5-5	A0A597	T cell receptor beta variable 5-5	GO:0002250;GO:0042101
TRBV5-6	A0A599	T cell receptor beta variable 5-6	GO:0002250;GO:0042101
TRBV5-8	A0A5A2	T cell receptor beta variable 5-8	GO:0002250;GO:0042101
TRBV11-3	A0A5A6	T cell receptor beta variable 11-3	GO:0002250;GO:0042101
TRBV14	A0A5B0	T cell receptor beta variable 14	GO:0002250;GO:0042101
TRBV28	A0A5B6	T cell receptor beta variable 28	GO:0002250;GO:0042101
TRBV29-1	A0A5B7	T cell receptor beta variable 29-1	GO:0002250;GO:0042101
TRBC2	A0A5B9	T cell receptor beta constant 2	GO:0016021;GO:0042101;GO:0034987;GO:0042742;GO:0003823;GO:0006911;GO:0050853;GO:0045087;GO:0006910;GO:0006958;GO:0050871;GO:0009897;GO:0042571
KANSL1L	A0AUZ9	KAT8 regulatory NSL complex subunit 1-like protein	GO:0043981;GO:0043982;GO:0043984;GO:0043996;GO:0035035;GO:0043995;GO:0046972;GO:0044545
SLC12A8	A0AV02	Solute carrier family 12 member 8	GO:0005623;GO:0016021;GO:1902476;GO:0015379;GO:0055075;GO:1990573;GO:0006884;GO:0055064
RBM47	A0AV96	RNA-binding protein 47	GO:0002244;GO:0003723;GO:0016554;GO:0005634;GO:0003729
TTC26	A0AVF1	Intraflagellar transport protein 56	GO:0005813;GO:0005929;GO:0007224;GO:0030992;GO:0035082;GO:0035735;GO:0042073;GO:0060271;GO:0061512;GO:0097542;GO:1905198;GO:0120170;GO:0035720;GO:0036064;GO:0097546;GO:0031514
FER1L5	A0AVI2	Fer-1-like protein 5	GO:0005886;GO:0007520;GO:0016021
TMEM129	A0AVI4	E3 ubiquitin-protein ligase TM129	GO:0000209;GO:0005783;GO:0005789;GO:0006986;GO:0016021;GO:0016567;GO:0030433;GO:0030970;GO:0046872;GO:0061630
E2F8	A0AVK6	Transcription factor E2F8	GO:0000122;GO:0000978;GO:0000981;GO:0000987;GO:0001227;GO:0001890;GO:0002040;GO:0003700;GO:0003714;GO:0005515;GO:0005634;GO:0005654;GO:0005730;GO:0005829;GO:0006977;GO:0008283;GO:0032466;GO:0032877;GO:0033301;GO:0042803;GO:0045944;GO:0060707;GO:0060718;GO:0070365;GO:0051726;GO:0008134;GO:0003677;GO:0043565;GO:0090575
UBA6	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006511;GO:0007612;GO:0007626;GO:0016567;GO:0019780;GO:0021764;GO:0021766;GO:0060996;GO:0004839;GO:0032446
ESYT2	A0FGR8	Extended synaptotagmin-2	GO:0005509;GO:0005515;GO:0005544;GO:0005789;GO:0005887;GO:0006687;GO:0006869;GO:0006897;GO:0008429;GO:0016020;GO:0031210;GO:0031227;GO:0031234;GO:0035091;GO:0042802;GO:0044232;GO:0045296;GO:0061817;GO:0140268
ESYT3	A0FGR9	Extended synaptotagmin-3	GO:0005515;GO:0005789;GO:0005887;GO:0006687;GO:0006869;GO:0031227;GO:0031234;GO:0044232;GO:0061817;GO:0140268;GO:0035091;GO:0005509;GO:0005544;GO:0031210;GO:0008429
TRAV38-2DV8	A0JD32	T cell receptor alpha variable 38-2/delta variable 8	GO:0002250;GO:0042101;GO:0002377;GO:0006955;GO:0005615
TRDV2	A0JD36	T cell receptor delta variable 2	GO:0002250;GO:0042101;GO:0045087;GO:0005615;GO:0002377;GO:0006955
TRDV3	A0JD37	T cell receptor delta variable 3	GO:0002250;GO:0042101;GO:0045087;GO:0006955;GO:0002377;GO:0005615
MED19	A0JLT2	Mediator of RNA polymerase II transcription subunit 19	GO:0003712;GO:0005515;GO:0005634;GO:0016604;GO:0045944;GO:0016592;GO:0008134
UHRF1BP1L	A0JNW5	UHRF1-binding protein 1-like	GO:0005515;GO:0005769;GO:0005829;GO:0042803;GO:0062069
IGLC7	A0M8Q6	Immunoglobulin lambda constant 7	GO:0005576;GO:0005886;GO:0006898;GO:0006956;GO:0006958;GO:0030449;GO:0038095;GO:0038096;GO:0050776;GO:0050900;GO:0034987;GO:0003823;GO:0006911;GO:0045087;GO:0042571;GO:0009897;GO:0006910;GO:0050853;GO:0042742;GO:0050871
SHTN1	A0MZ66	Shootin-1	GO:0005515;GO:0005737;GO:0005874;GO:0005875;GO:0006930;GO:0007265;GO:0007409;GO:0015630;GO:0019894;GO:0030027;GO:0030175;GO:0030424;GO:0030426;GO:0031252;GO:0032488;GO:0038007;GO:0043204;GO:0044295;GO:0045296;GO:0045773;GO:0048471;GO:0048812;GO:0051015;GO:0060327;GO:0061163;GO:0061573;GO:2000114;GO:2001224
DHRS12	A0PJE2	Dehydrogenase/reductase SDR family member 12	GO:0016491;GO:0055114
SLC5A10	A0PJK1	Sodium/glucose cotransporter 5	GO:0005886;GO:0008645;GO:0015370;GO:0035725;GO:0070062;GO:1904659;GO:0005412;GO:0016021
TMEM223	A0PJW6	Transmembrane protein 223	GO:0016021;GO:0007399
DAPL1	A0PJW8	Death-associated protein-like 1	GO:0030154;GO:0034198;GO:0010507;GO:0070513;GO:0097190
CIB4	A0PJX0	Calcium and integrin-binding family member 4	GO:0000287;GO:0005509;GO:0005515
SHISA3	A0PJX4	Protein shisa-3 homolog	GO:0005515;GO:0005789;GO:0007275;GO:0016021
TMEM82	A0PJX8	Transmembrane protein 82	GO:0016021
FEZF1	A0PJY2	Fez family zinc finger protein 1	GO:0000122;GO:0000978;GO:0000981;GO:0001227;GO:0001764;GO:0005634;GO:0005829;GO:0007411;GO:0008285;GO:0021772;GO:0021797;GO:0043697;GO:0045666;GO:0045893;GO:0046872
GXYLT2	A0PJZ3	Glucoside xylosyltransferase 2	GO:0016021;GO:0016266;GO:0035252
TMEM120B	A0PK00	Transmembrane protein 120B	GO:0003674;GO:0005515;GO:0005575;GO:0005637;GO:0008150;GO:0016021;GO:0045444;GO:0051291
TMEM72	A0PK05	Transmembrane protein 72	GO:0016021
CLRN2	A0PK11	Clarin-2	GO:0016021
TMEM30CP	A0ZSE6	Cell cycle control protein 50C	GO:0016021;GO:0140331;GO:0045332;GO:0005783;GO:0140326;GO:0005794;GO:0005886
ARHGAP10	A1A4S6	Rho GTPase-activating protein 10	GO:0005515;GO:0005829;GO:0005886;GO:0007165;GO:0043547;GO:0048471;GO:0051056;GO:0007010;GO:0043066;GO:0005096
IRGM	A1A4Y4	Immunity-related GTPase family M protein	GO:0000045;GO:0000139;GO:0000421;GO:0001891;GO:0001934;GO:0005515;GO:0005525;GO:0005739;GO:0005794;GO:0005829;GO:0006954;GO:0010508;GO:0010800;GO:0019901;GO:0030670;GO:0031648;GO:0033138;GO:0042742;GO:0042995;GO:0043254;GO:0043539;GO:0045087;GO:0050700;GO:0050821;GO:0050829;GO:0051434;GO:0060335;GO:0061635;GO:0061739;GO:0061762;GO:0070431;GO:0071222;GO:0071902;GO:0075044;GO:0098586;GO:1901098;GO:0006952;GO:0005789;GO:0003924;GO:0035458
FAM170A	A1A519	Protein FAM170A	GO:0003677;GO:0005634;GO:0006366;GO:0045893;GO:0046872
KRTAP23-1	A1A580	Keratin-associated protein 23-1	GO:0005515;GO:0005829;GO:0005882;GO:0031424
ANO9	A1A5B4	Anoctamin-9	GO:0005229;GO:0005515;GO:0005886;GO:0006821;GO:0016021;GO:0017128;GO:0034220;GO:0061589;GO:0061590;GO:0061591;GO:1902939
SLC22A23	A1A5C7	Solute carrier family 22 member 23	GO:0005515;GO:0006811;GO:0016021;GO:0022857;GO:0055085
BICDL2	A1A5D9	BICD family-like cargo adapter 2	GO:0005515;GO:0005737;GO:0047496;GO:0017137;GO:0055107
ODAM	A1E959	Odontogenic ameloblast-associated protein	GO:0001934;GO:0005515;GO:0005576;GO:0005615;GO:0005634;GO:0005737;GO:0006954;GO:0010628;GO:0031214;GO:0032956;GO:0042475;GO:0043547;GO:0044267;GO:0060054;GO:0071944;GO:0099512
ARHGEF37	A1IGU5	Rho guanine nucleotide exchange factor 37	GO:0005737;GO:0035023;GO:0005089
FAM168B	A1KXE4	Myelin-associated neurite-outgrowth inhibitor	GO:0005886;GO:0016021;GO:0030424;GO:0048471;GO:0070062
PXDNL	A1KZ92	Peroxidasin-like protein	GO:0004519;GO:0004601;GO:0005615;GO:0005737;GO:0006979;GO:0020037;GO:0042744;GO:0046872;GO:0055114;GO:0090305;GO:0098869
MEX3A	A1L020	RNA-binding protein MEX3A	GO:0000932;GO:0003723;GO:0005634;GO:0005829;GO:0046872
ILVBL	A1L0T0	Acetolactate synthase-like protein	GO:0000287;GO:0003674;GO:0005515;GO:0008150;GO:0016020;GO:0016021;GO:0016740;GO:0030976
ERICH2	A1L162	Glutamate-rich protein 2	GO:0005515
UBE2QL1	A1L167	Ubiquitin-conjugating enzyme E2Q-like protein 1	GO:0005515;GO:0005524;GO:0005634;GO:0005886;GO:0016567;GO:0061631
NDUFAF8	A1L188	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	GO:0005515;GO:0005739;GO:0032981
SYCE3	A1L190	Synaptonemal complex central element protein 3	GO:0000801;GO:0005515;GO:0005634;GO:0005694;GO:0007130;GO:0007131;GO:0007283;GO:0043065;GO:0051301
IGSF23	A1L1A6	Immunoglobulin superfamily member 23	GO:0016021
PLEKHG3	A1L390	Pleckstrin homology domain-containing family G member 3	GO:0005089;GO:0035023
